iter	Passed	Remaining
824	12197	61727
825	12213	61717
826	12230	61716
827	12246	61706
828	12262	61699
829	12278	61690
830	12294	61681
831	12310	61672
832	12327	61665
833	12344	61660
834	12360	61655
835	12377	61648
836	12393	61640
837	12409	61633
838	12426	61629
839	12442	61622
840	12458	61610
841	12475	61607
842	12491	61598
843	12507	61590
844	12523	61580
845	12539	61573
846	12556	61564
847	12572	61555
848	12588	61550
849	12605	61543
850	12622	61540
851	12639	61534
852	12655	61527
853	12671	61519
854	12688	61512
855	12705	61507
856	12721	61499
857	12737	61491
858	12753	61482
859	12770	61478
860	12786	61468
861	12802	61459
862	12819	61455
863	12836	61448
864	12852	61438
865	12868	61432
866	12885	61426
867	12902	61420
868	12918	61412
869	12935	61406
870	12951	61396
871	12967	61386
872	12983	61378
873	13000	61371
874	13017	61366
875	13033	61357
876	13048	61346
877	13064	61336
878	13081	61328
879	13097	61318
880	13113	61311
881	13130	61305
882	13147	61299
883	13163	61290
884	13179	61280
885	13195	61271
886	13212	61266
887	13229	61260
888	13246	61253
889	13255	61214
890	13272	61207
891	13288	61197
892	13304	61190
893	13320	61180
894	13337	61173
895	13353	61165
896	13369	61155
897	13386	61146
898	13402	61138
899	13418	61130
900	13435	61122
901	13450	61108
902	13465	61095
903	13481	61085
904	13497	61076
905	13514	61067
906	13530	61057
907	13545	61045
908	13561	61032
909	13577	61023
910	13593	61016
911	13610	61008
912	13626	60998
913	13642	60989
914	13658	60977
915	13675	60972
916	13691	60963
917	13708	60957
918	13724	60945
919	13740	60936
920	13756	60927
921	13773	60918
922	13789	60908
923	13806	60903
924	13823	60896
925	13839	60887
926	13856	60880
927	13873	60875
928	13889	60866
929	13905	60856
930	13922	60847
931	13938	60838
932	13955	60832
933	13971	60822
934	13987	60813
935	14004	60805
936	14020	60796
937	14036	60785
938	14053	60777
939	14069	60770
940	14085	60758
941	14102	60750
942	14117	60737
943	14134	60731
944	14151	60724
945	14167	60713
946	14183	60703
947	14200	60697
948	14216	60688
949	14233	60678
950	14249	60670
951	14266	60661
952	14282	60651
953	14299	60644
954	14315	60635
955	14331	60623
956	14347	60614
957	14364	60605
958	14380	60597
959	14397	60591
960	14414	60581
961	14430	60573
962	14447	60563
963	14462	60551
964	14478	60540
965	14494	60530
966	14511	60520
967	14527	60509
968	14543	60500
969	14559	60490
970	14575	60479
971	14593	60474
972	14609	60464
973	14625	60455
974	14641	60445
975	14658	60434
976	14674	60423
977	14690	60415
978	14707	60406
979	14713	60356
980	14729	60345
981	14745	60335
982	14761	60323
983	14777	60310
984	14792	60298
985	14809	60290
986	14826	60280
987	14842	60269
988	14858	60258
989	14873	60245
990	14889	60235
991	14905	60223
992	14921	60211
993	14937	60201
994	14954	60193
995	14971	60184
996	14987	60173
997	15003	60165
998	15019	60154
999	15036	60145
1000	15052	60134
1001	15068	60125
1002	15084	60113
1003	15100	60101
1004	15116	60091
1005	15133	60083
1006	15150	60075
1007	15167	60066
1008	15183	60057
1009	15200	60048
1010	15216	60037
1011	15232	60026
1012	15248	60016
1013	15265	60007
1014	15281	59995
1015	15297	59986
1016	15313	59975
1017	15330	59966
1018	15347	59957
1019	15363	59947
1020	15379	59937
1021	15395	59926
1022	15414	59923
1023	15430	59912
1024	15446	59902
1025	15462	59890
1026	15479	59881
1027	15495	59872
1028	15511	59861
1029	15528	59851
1030	15544	59841
1031	15561	59831
1032	15578	59824
1033	15594	59814
1034	15610	59802
1035	15626	59791
1036	15642	59780
1037	15659	59769
1038	15675	59759
1039	15692	59751
1040	15708	59740
1041	15724	59727
1042	15739	59715
1043	15756	59705
1044	15772	59694
1045	15789	59685
1046	15805	59673
1047	15820	59660
1048	15836	59648
1049	15853	59637
1050	15868	59625
1051	15884	59613
1052	15901	59602
1053	15916	59587
1054	15932	59576
1055	15948	59563
1056	15963	59549
1057	15979	59536
1058	15994	59522
1059	16010	59508
1060	16025	59495
1061	16040	59480
1062	16056	59467
1063	16071	59453
1064	16087	59440
1065	16103	59428
1066	16119	59417
1067	16135	59405
1068	16151	59394
1069	16167	59382
1070	16184	59372
1071	16200	59362
1072	16217	59353
1073	16233	59342
1074	16250	59331
1075	16265	59317
1076	16282	59310
1077	16299	59300
1078	16316	59291
1079	16332	59280
1080	16348	59269
1081	16365	59259
1082	16381	59248
1083	16397	59237
1084	16413	59225
1085	16430	59214
1086	16446	59203
1087	16463	59194
1088	16479	59185
1089	16495	59173
1090	16512	59162
1091	16528	59150
1092	16543	59136
1093	16559	59124
1094	16576	59115
1095	16592	59104
1096	16608	59092
1097	16626	59084
1098	16642	59074
1099	16658	59062
1100	16675	59052
1101	16691	59041
1102	16708	59031
1103	16724	59019
1104	16740	59007
1105	16756	58996
1106	16772	58985
1107	16788	58972
1108	16804	58960
1109	16821	58950
1110	16838	58941
1111	16855	58932
1112	16870	58918
1113	16886	58907
1114	16903	58896
1115	16919	58885
1116	16935	58872
1117	16952	58863
1118	16968	58852
1119	16985	58841
1120	17001	58829
1121	17017	58817
1122	17033	58804
1123	17048	58791
1124	17065	58780
1125	17080	58766
1126	17097	58755
1127	17112	58740
1128	17128	58727
1129	17144	58715
1130	17159	58701
1131	17175	58688
1132	17191	58674
1133	17207	58662
1134	17223	58649
1135	17239	58638
1136	17255	58626
1137	17271	58612
1138	17287	58601
1139	17304	58590
1140	17320	58578
1141	17336	58567
1142	17352	58556
1143	17369	58545
1144	17385	58533
1145	17401	58522
1146	17417	58509
1147	17433	58497
1148	17450	58487
1149	17466	58475
1150	17482	58462
1151	17499	58452
1152	17515	58440
1153	17531	58428
1154	17548	58417
1155	17564	58405
1156	17580	58394
1157	17596	58382
1158	17613	58371
1159	17629	58359
1160	17645	58348
1161	17652	58304
1162	17668	58291
1163	17684	58279
1164	17700	58266
1165	17716	58253
1166	17731	58238
1167	17747	58227
1168	17764	58216
1169	17780	58203
1170	17796	58190
1171	17812	58178
1172	17828	58167
1173	17844	58155
1174	17861	58144
1175	17877	58133
1176	17893	58120
1177	17909	58107
1178	17926	58096
1179	17942	58085
1180	17958	58073
1181	17975	58061
1182	17991	58048
1183	18007	58036
1184	18023	58024
1185	18033	57991
1186	18048	57978
1187	18064	57966
1188	18081	57953
1189	18097	57941
1190	18113	57929
1191	18130	57918
1192	18145	57905
1193	18161	57892
1194	18177	57879
1195	18193	57865
1196	18199	57823
1197	18215	57809
1198	18231	57797
1199	18247	57783
1200	18263	57770
1201	18279	57757
1202	18294	57743
1203	18310	57731
1204	18326	57717
1205	18342	57703
1206	18357	57688
1207	18373	57675
1208	18389	57661
1209	18405	57649
1210	18420	57635
1211	18439	57629
1212	18456	57620
1213	18472	57607
1214	18489	57599
1215	18505	57587
1216	18512	57544
1217	18528	57531
1218	18543	57518
1219	18559	57504
1220	18575	57491
1221	18591	57478
1222	18607	57466
1223	18622	57450
1224	18638	57438
1225	18654	57423
1226	18670	57411
1227	18686	57397
1228	18702	57385
1229	18718	57372
1230	18734	57358
1231	18749	57344
1232	18765	57332
1233	18782	57320
1234	18798	57309
1235	18814	57294
1236	18830	57283
1237	18847	57271
1238	18863	57260
1239	18879	57248
1240	18896	57236
1241	18912	57224
1242	18929	57213
1243	18945	57201
1244	18961	57190
1245	18978	57178
1246	18993	57164
1247	19010	57152
1248	19026	57140
1249	19042	57126
1250	19057	57112
1251	19074	57100
1252	19091	57090
1253	19107	57079
1254	19123	57066
1255	19139	57053
1256	19155	57040
1257	19172	57029
1258	19188	57016
1259	19204	57003
1260	19220	56989
1261	19236	56977
1262	19252	56965
1263	19268	56951
1264	19283	56935
1265	19298	56921
1266	19314	56907
1267	19331	56895
1268	19347	56883
1269	19363	56870
1270	19379	56856
1271	19396	56847
1272	19412	56834
1273	19428	56821
1274	19443	56806
1275	19459	56793
